trip_id,customer_id,trip_status,trip_rating,driver_behavior,vehicle_comfort
t901,c_108,1,2,2,2
t902,c_110,2,3,2,3
t903,c_106,3,2,1,1
t904,c_106,3,1,3,2
t905,c_108,2,1,2,3
t906,c_106,1,4,2,1
t907,c_104,3,3,1,3
t908,c_107,1,2,3,1
t909,c_109,3,4,3,1
t910,c_106,1,4,3,2
t911,c_119,2,1,2,2
t912,c_124,1,1,1,1
t913,c_125,3,2,1,1
t914,c_120,3,4,3,2
t915,c_116,1,1,1,3
t916,c_117,2,2,3,1
t917,c_127,1,1,3,2
t918,c_122,2,4,2,2
t919,c_136,3,2,2,2
t920,c_130,2,4,2,1
t921,c_133,3,4,2,3
t922,c_132,3,2,1,3
t923,c_124,2,3,2,3
t924,c_123,3,2,3,1
t925,c_140,1,3,3,2
t926,c_131,3,1,2,2
t927,c_142,1,1,3,3
t928,c_150,1,4,2,3
t929,c_153,1,3,2,3
t930,c_154,2,3,1,2
t931,c_147,2,3,3,1
t932,c_157,1,3,2,1
t933,c_141,1,2,1,3
t934,c_158,2,1,2,2
t935,c_149,1,3,3,2
t936,c_146,2,2,3,2
t937,c_125,3,1,3,1
t938,c_120,1,1,3,2
t939,c_116,1,1,2,2
t940,c_117,3,3,3,1
t941,c_127,1,2,2,1
t942,c_122,1,1,1,3
t943,c_136,2,1,1,2
t944,c_130,2,2,1,1
t945,c_133,3,4,2,2
t946,c_203,2,2,2,3
t947,c_199,2,2,2,3
t948,c_197,1,2,1,1
t949,c_190,2,3,3,3
t950,c_185,3,1,3,2
t951,c_174,3,3,3,2
t952,c_108,1,3,1,1
t953,c_106,3,2,2,1
t954,c_104,3,4,2,2
t955,c_107,2,2,3,2
t956,c_109,3,4,1,3
t957,c_106,1,2,2,3
t958,c_119,2,2,3,3
t959,c_124,1,4,3,2
t960,c_125,3,3,2,1
t961,c_120,3,2,1,3
t962,c_116,3,1,3,2
t963,c_177,3,1,3,2
t964,c_130,1,1,2,3
t965,c_161,3,4,1,3
t966,c_117,3,3,1,3
t967,c_169,3,1,1,2
t968,c_179,1,4,3,1
t969,c_173,2,4,1,2
t970,c_171,1,4,3,3
t971,c_166,3,2,2,3
t972,c_164,1,1,1,1
t973,c_197,3,3,3,3
t974,c_187,2,1,2,1
t975,c_184,2,2,3,1
